Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,2
2020-03-06,3
2020-03-07,3
2020-03-08,3
2020-03-09,5
2020-03-10,7
2020-03-11,7
2020-03-12,11
2020-03-13,18
2020-03-14,21
2020-03-15,24
2020-03-16,25
2020-03-17,34
2020-03-18,39
2020-03-19,64
2020-03-20,89
2020-03-21,93
2020-03-22,126
2020-03-23,136
2020-03-24,168
2020-03-25,176
2020-03-26,191
2020-03-27,237
2020-03-28,278
2020-03-29,323
2020-03-30,368
2020-03-31,420
2020-04-01,459
2020-04-02,533
2020-04-03,579
2020-04-04,624
2020-04-05,654
2020-04-06,674
2020-04-07,764
2020-04-08,804
2020-04-09,858
2020-04-10,901
2020-04-11,946
2020-04-12,1009
2020-04-13,1037
2020-04-14,1083
2020-04-15,1110
2020-04-16,1167
2020-04-17,1214
2020-04-18,1268
2020-04-19,1285
2020-04-20,1309
2020-04-21,1342
2020-04-22,1368
2020-04-23,1413
2020-04-24,1421
2020-04-25,1486
2020-04-26,1516
2020-04-27,1565
2020-04-28,1585
2020-04-29,1677
2020-04-30,1757
2020-05-01,1781
2020-05-02,1839
2020-05-03,1857
2020-05-04,1926
2020-05-05,1946
2020-05-06,1987
2020-05-07,2027
2020-05-08,2070
2020-05-09,2090
